Category,Metric,Value
Data Volume,Submissions,4869
Data Volume,Comments,200000
Text Corpus,Total Documents,185776
Text Corpus,Positive Labels,27701
Text Corpus,Negative Labels,158075
Text Corpus,Avg Text Length,190.9 chars
Baseline Model,Accuracy,0.920
Baseline Model,F1 (Macro),0.860
Baseline Model,F1 (Weighted),0.925
Baseline Model,AUC,0.966
Interaction Graph,Nodes,1993
Interaction Graph,Edges,11024
Interaction Graph,Components,558
Interaction Graph,Avg Degree,11.06
Interaction Graph,Density,0.0056
